customer_id,customer_age,customer_segment,account_age_days,country,city,account_created_at
CUST_00001,39,PREMIUM,875,IN,Surat,2023-10-08T16:59:57
CUST_00002,32,SALARIED,1038,IN,Pune,2023-04-28T01:21:50
CUST_00003,41,SALARIED,574,IN,Surat,2024-08-04T18:28:54
CUST_00004,50,RETAIL,187,IN,Delhi,2025-08-26T22:37:18
CUST_00005,31,STUDENT,284,IN,Pune,2025-05-21T19:28:45
CUST_00006,31,SME,776,IN,Mumbai,2024-01-15T09:13:47
CUST_00007,51,STUDENT,798,IN,Mumbai,2023-12-24T00:51:43
CUST_00008,42,PREMIUM,961,IN,Ahmedabad,2023-07-14T06:41:25
CUST_00009,28,RETAIL,447,IN,Ahmedabad,2024-12-09T06:37:39
CUST_00010,39,RETAIL,1200,IN,Delhi,2022-11-17T18:55:26
CUST_00011,28,RETAIL,604,IN,Mumbai,2024-07-05T06:36:30
CUST_00012,28,SALARIED,1101,IN,Mumbai,2023-02-24T11:13:48
CUST_00013,36,STUDENT,810,IN,Bengaluru,2023-12-12T04:44:39
CUST_00014,18,STUDENT,1168,IN,Ahmedabad,2022-12-19T11:47:26
CUST_00015,18,SALARIED,380,IN,Kolkata,2025-02-14T04:41:39
CUST_00016,27,STUDENT,291,IN,Bengaluru,2025-05-14T20:26:17
CUST_00017,22,RETAIL,330,IN,Hyderabad,2025-04-05T18:04:57
CUST_00018,37,RETAIL,457,IN,Kolkata,2024-11-29T20:57:23
CUST_00019,24,STUDENT,1141,IN,Chennai,2023-01-15T04:15:22
CUST_00020,18,RETAIL,517,IN,Mumbai,2024-09-30T04:14:55
CUST_00021,50,SALARIED,492,IN,Bengaluru,2024-10-25T03:28:00
CUST_00022,31,PREMIUM,189,IN,Kolkata,2025-08-24T12:24:12
CUST_00023,34,SALARIED,184,IN,Mumbai,2025-08-29T04:42:26
CUST_00024,18,STUDENT,687,IN,Bengaluru,2024-04-13T21:46:26
CUST_00025,28,RETAIL,538,IN,Hyderabad,2024-09-09T06:35:47
CUST_00026,35,PREMIUM,574,IN,Jaipur,2024-08-04T05:19:48
CUST_00027,21,STUDENT,915,IN,Surat,2023-08-29T00:53:10
CUST_00028,38,RETAIL,1004,IN,Bengaluru,2023-06-01T01:17:32
CUST_00029,27,RETAIL,434,IN,Pune,2024-12-22T06:34:27
CUST_00030,30,STUDENT,1158,IN,Pune,2022-12-29T04:31:00
CUST_00031,27,SALARIED,1191,IN,Kolkata,2022-11-26T13:05:36
CUST_00032,54,SALARIED,946,IN,Hyderabad,2023-07-29T00:39:21
CUST_00033,33,PREMIUM,503,IN,Chennai,2024-10-14T11:10:24
CUST_00034,22,RETAIL,991,IN,Mumbai,2023-06-14T09:34:59
CUST_00035,43,SME,98,IN,Chennai,2025-11-23T07:51:03
CUST_00036,20,RETAIL,519,IN,Mumbai,2024-09-28T17:05:39
CUST_00037,36,SALARIED,630,IN,Surat,2024-06-09T06:27:24
CUST_00038,18,SALARIED,381,IN,Pune,2025-02-13T20:57:30
CUST_00039,19,RETAIL,607,IN,Hyderabad,2024-07-02T12:03:22
CUST_00040,36,RETAIL,680,IN,Surat,2024-04-20T21:23:34
CUST_00041,42,SALARIED,223,IN,Ahmedabad,2025-07-21T00:39:09
CUST_00042,35,RETAIL,260,IN,Mumbai,2025-06-14T04:18:40
CUST_00043,32,STUDENT,846,IN,Pune,2023-11-06T21:10:56
CUST_00044,30,RETAIL,954,IN,Bengaluru,2023-07-21T10:00:04
CUST_00045,18,SALARIED,529,IN,Surat,2024-09-18T00:18:05
CUST_00046,26,SALARIED,848,IN,Mumbai,2023-11-04T22:40:26
CUST_00047,28,RETAIL,371,IN,Hyderabad,2025-02-23T13:27:15
CUST_00048,45,RETAIL,869,IN,Surat,2023-10-14T09:11:21
CUST_00049,37,PREMIUM,519,IN,Kolkata,2024-09-28T10:41:09
CUST_00050,18,RETAIL,753,IN,Mumbai,2024-02-07T21:29:23
